"ID","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity"
1,0.283,-9.148,0.694,165013,NA,0.689,0.654,NA,NA,0.0322,11,NA,1,52
2,0.501,NA,0.39,NA,NA,0.242,NA,NA,0.861,0.17,NA,0.0945,NA,55
3,0.227,-4.589,NA,NA,4,0.498,0.704,NA,NA,0.127,5,NA,NA,91
4,0.0547,-6.082,0.745,202375,4,0.453,0.815,NA,0.0134,0.144,NA,1.05e-05,NA,37
5,0.136,NA,0.542,NA,4,0.374,0.905,153.398,0.00172,0.054,9,0.0104,1,81
6,0.109,-7.693,0.6,196333,NA,0.622,NA,124.303,NA,0.0788,NA,6.82e-06,1,60
7,NA,-5.829,0.604,174306,4,NA,NA,96.947,0.00118,0.0313,NA,NA,0,25
8,0.0863,-4.97,0.543,222386,4,NA,NA,151.936,0.00122,0.0569,NA,0.0397,1,35
9,0.552,-6.977,NA,145542,4,NA,0.671,112.502,0.103,0.289,1,0,NA,85
10,NA,-6.028,0.624,125906,4,0.811,0.474,80.548,0.896,0.0355,NA,0,1,33
11,0.103,-19.502,0.35,NA,4,0.137,0.266,NA,0.986,0.0307,6,0.891,NA,50
12,0.205,NA,0.715,239240,NA,0.963,0.97,79.504,0.0644,0.0648,0,0.000156,1,69
13,NA,-5.582,0.835,267080,4,NA,0.669,NA,NA,0.0643,6,6.92e-05,0,79
14,0.129,-5.58,0.765,241813,4,0.284,NA,97.04,NA,0.0361,NA,NA,0,64
15,0.107,NA,NA,185286,4,0.215,NA,84.422,0.218,0.104,NA,NA,1,1
16,NA,-8.216,NA,NA,4,0.35,0.443,NA,0.0172,0.264,NA,0,NA,36
17,0.0858,-7.559,0.83,260666,4,0.559,0.417,NA,NA,0.0423,8,0,1,58
18,0.263,NA,NA,215899,NA,0.458,0.91,NA,0.0442,NA,NA,5.61e-05,NA,22
19,0.0835,-10.788,NA,216506,NA,0.6,0.408,NA,0.689,0.0554,NA,NA,NA,23
20,0.0624,-10.541,0.843,145659,4,0.34,NA,132.04,0.535,NA,3,0.00105,NA,5
21,0.0702,NA,NA,241599,4,0.796,NA,NA,NA,0.0317,0,0.000376,NA,78
22,0.0536,-8.907,NA,290293,NA,0.351,0.56,84.689,0.55,NA,3,0.000111,1,42
23,0.233,-3.782,0.746,166138,NA,0.751,0.877,NA,0.0375,0.0666,NA,0.000833,NA,11
24,0.118,-6.94,0.268,179200,4,NA,0.459,64.177,0.378,0.0346,NA,0,1,74
25,0.106,-7.132,0.592,176075,NA,NA,0.571,104.95,0.172,0.174,1,0,1,74
26,0.098,-14.805,0.899,NA,4,0.744,NA,111.503,0.0113,0.102,7,NA,1,50
27,NA,-11.541,0.567,NA,4,0.535,0.867,146.008,0.00384,0.0484,NA,NA,NA,55
28,0.0853,NA,0.731,NA,4,0.425,NA,75.066,NA,NA,8,0.000685,0,26
29,NA,-6.49,0.749,NA,NA,0.847,0.967,140.02,0.000361,NA,6,0.718,0,0
30,NA,-6.297,0.552,225533,4,0.786,0.886,87.167,NA,NA,5,0,0,2
31,0.162,-8.03,NA,207813,4,0.25,NA,129.974,0.0243,0.0349,7,NA,1,4
32,0.0974,-9.858,0.865,NA,4,NA,0.525,NA,0.145,0.347,11,0,1,62
33,0.244,-9.671,0.691,199533,NA,NA,0.581,NA,0.504,0.037,1,NA,NA,41
34,0.342,-7.033,0.782,268933,4,0.243,0.436,82.994,0.331,0.155,2,1.3e-05,1,77
35,0.101,-10.273,0.471,209573,4,NA,0.179,NA,0.921,NA,9,NA,NA,65
36,0.176,-6.503,0.698,264853,4,0.378,0.783,NA,0.016,0.266,2,NA,NA,52
37,0.175,NA,NA,223240,4,0.676,0.625,NA,0.00297,0.0567,11,0.00156,0,58
38,0.0864,-8.417,0.728,176702,4,0.445,0.607,129.938,0.133,NA,1,0,NA,76
39,NA,NA,NA,197922,4,0.705,0.559,107.992,NA,0.064,NA,NA,0,62
40,0.15,-5.605,NA,211825,4,NA,0.882,140.103,0.0193,0.0819,1,NA,1,48
41,0.154,NA,0.394,285866,4,0.0932,0.0826,131.512,0.946,0.0392,NA,0.00297,1,64
42,NA,-5.991,NA,213309,4,NA,NA,123.07,0.0119,0.0394,NA,4.91e-06,NA,98
43,0.12,-6.84,NA,189493,4,0.341,0.63,90.045,0.0998,0.162,NA,0.000635,NA,46
44,0.288,-6.443,0.739,159466,4,0.767,NA,NA,0.00935,0.0345,NA,0.783,NA,10
45,NA,-5.436,0.527,210226,NA,NA,0.978,141.169,0.00124,0.109,8,4.75e-05,NA,73
46,0.591,-2.605,NA,198093,NA,0.808,0.907,119.006,0.135,0.0326,6,NA,0,56
47,0.232,-7.608,NA,NA,4,0.293,0.468,NA,0.054,0.0425,0,NA,NA,55
48,0.0868,-21.672,0.172,NA,5,0.0417,0.103,NA,0.949,0.0408,0,0.967,1,55
49,0.399,-3.887,0.499,276040,4,0.26,NA,139.865,0.0386,0.267,9,NA,NA,73
50,NA,NA,0.725,204022,NA,0.859,0.834,120.026,0.0784,0.037,5,1.27e-05,0,80
51,0.211,-15.584,0.643,159102,1,NA,0.213,137.709,0.891,0.0324,NA,NA,1,62
52,0.259,NA,0.901,NA,4,0.329,NA,NA,NA,0.33,2,NA,1,99
53,0.116,-5.025,0.69,210090,4,0.544,0.622,NA,NA,0.0622,5,0,0,84
54,NA,-6.221,0.83,275560,4,0.376,NA,101.031,NA,0.0468,NA,0.000548,1,56
55,0.091,NA,0.699,193761,NA,0.484,0.583,NA,0.05,NA,6,0.00029,NA,68
56,0.108,-8.524,NA,NA,4,NA,0.203,89.646,0.829,0.0668,9,0,0,68
57,0.287,-4.813,0.743,231173,4,NA,NA,NA,NA,0.0414,4,NA,NA,77
58,0.121,-5.534,0.368,209520,4,NA,0.869,172.202,0.000307,0.0828,NA,NA,1,58
59,0.659,-6.288,NA,404413,NA,0.6,NA,120.567,0.0565,0.0373,2,0.293,1,58
60,0.605,-6.773,0.593,241013,4,0.473,NA,NA,NA,0.0504,3,0.533,1,59
61,0.119,-8.585,NA,207800,4,0.137,0.444,NA,0.652,0.0276,NA,1.63e-06,1,34
62,0.411,-9.397,0.497,NA,NA,NA,NA,95.769,0.0613,0.0266,6,0,1,72
63,0.724,-4.802,0.262,198867,4,0.468,0.881,127.947,NA,NA,2,0.000938,NA,44
64,NA,-4.757,NA,NA,4,NA,0.786,177.833,NA,NA,2,0,1,45
65,NA,-6.431,NA,230761,4,NA,0.486,128.038,0.0129,0.0311,NA,0,0,89
66,0.0838,-6.942,0.77,NA,NA,NA,NA,99.16,0.151,0.0399,NA,0,NA,51
67,0.18,-3.212,0.615,180853,4,0.437,NA,NA,0.0812,0.0485,6,1.17e-06,1,67
68,0.104,-11.587,0.591,257266,4,0.36,0.513,NA,NA,0.0858,NA,NA,0,60
69,NA,-5.904,0.71,256622,4,0.458,NA,122.018,NA,0.149,6,4.89e-06,0,65
70,0.485,-6.989,0.66,NA,NA,0.324,NA,124.012,0.0199,0.0333,0,0.00119,NA,51
71,0.119,-8.098,NA,160826,4,0.667,NA,NA,0.0017,0.0448,11,NA,NA,48
72,NA,-7.335,0.509,252866,4,0.244,NA,75.089,0.385,0.0572,7,0,1,78
73,0.0717,-6.518,0.565,224280,4,0.229,NA,NA,0.735,NA,NA,NA,0,24
74,NA,-6.246,0.515,NA,NA,0.892,0.603,NA,0.639,0.0318,10,0,1,37
75,NA,-9.545,0.441,208226,3,0.105,NA,174.118,NA,0.0449,2,0.262,1,79
76,0.108,-6.089,0.614,202226,NA,NA,NA,96.737,0.551,0.199,NA,0.852,0,40
77,NA,-8.455,NA,308946,NA,0.171,0.441,NA,0.0248,0.075,5,0.0706,NA,57
78,0.17,-4.876,0.718,270883,NA,0.888,0.847,91.158,0.485,0.29,2,0,1,19
79,0.297,-9.196,NA,NA,4,0.716,NA,NA,0.567,NA,9,NA,1,56
80,0.159,-5.399,0.519,192826,NA,0.243,NA,99.909,0.188,0.0263,6,0,NA,51
81,0.0609,-8.248,0.805,348318,NA,0.173,0.644,100.001,NA,NA,1,0.845,1,53
82,0.063,-11.267,NA,NA,4,NA,0.744,NA,0.0218,0.0338,8,0.712,1,19
83,0.0939,NA,0.839,135016,4,0.0644,0.473,NA,0.641,0.0607,10,0.000459,NA,65
84,0.0886,-7.269,0.646,211306,4,0.412,0.506,139.991,0.184,0.0307,10,0,0,46
85,NA,-4.19,NA,241040,4,0.902,0.917,152.113,NA,0.0395,9,NA,NA,67
86,NA,-9.545,NA,208226,3,0.105,0.379,174.118,0.968,NA,NA,NA,NA,79
87,0.538,-7.539,NA,NA,4,0.398,NA,77.737,0.208,0.044,NA,NA,0,65
88,0.125,NA,NA,NA,4,0.287,0.551,140.008,NA,0.0501,1,NA,NA,37
89,NA,-5.867,0.66,211533,4,0.458,0.927,136.247,0.461,NA,5,5.73e-05,0,60
90,NA,NA,0.329,433520,NA,0.189,0.306,170.169,0.739,0.0327,2,1.01e-06,0,68
91,0.0658,-5.425,0.636,198213,3,NA,NA,200.014,0.293,0.0535,NA,0,1,16
92,0.846,-2.555,NA,229840,4,0.619,NA,NA,NA,0.0787,1,0.309,0,68
93,NA,NA,0.71,232800,NA,0.875,0.882,NA,0.00777,NA,4,0.00771,NA,67
94,0.175,-5.114,0.673,167426,4,0.749,0.84,144.184,0.126,0.0381,NA,NA,1,53
95,NA,-8.768,0.625,NA,4,0.555,NA,98.027,0.0562,0.272,1,0,1,70
96,0.0829,-5.881,NA,NA,4,0.78,0.861,104.034,NA,0.0323,11,NA,NA,83
97,NA,-8.308,0.462,575200,4,0.53,NA,108.37,0.322,0.0339,2,0.0038,1,43
98,NA,-7.114,0.755,174860,NA,0.374,0.625,147.02,0.49,0.0896,2,0,1,87
99,0.185,-3.833,0.416,NA,4,0.677,NA,NA,NA,0.0503,8,4.23e-05,NA,55
100,0.0534,-5.066,0.593,198000,NA,0.477,0.829,160.012,NA,0.0763,7,0.0319,1,42
101,0.146,-6.442,0.669,196400,4,NA,NA,NA,0.0175,0.0286,4,0.00294,0,97
102,0.195,-3.95,NA,177464,NA,0.657,0.907,141.988,0.0292,0.0672,10,0,0,67
103,0.14,NA,0.799,280853,4,0.816,0.878,NA,0.189,NA,1,0.000105,1,71
104,0.0942,-4.807,NA,NA,4,0.35,0.892,137.35,0.00187,NA,NA,1.34e-06,0,59
105,0.76,NA,0.539,230693,4,0.752,0.884,100.812,0.382,0.0403,9,NA,1,73
106,0.163,-4.882,NA,180897,NA,0.319,NA,146.067,0.268,0.0495,6,0.00114,NA,90
107,NA,-7.755,NA,188986,4,0.47,0.792,NA,0.208,0.248,1,0.000501,0,59
108,0.0811,NA,NA,235093,NA,0.913,NA,115.151,5.62e-06,NA,4,0.635,1,59
109,0.833,-1.976,0.468,195389,NA,0.698,0.939,176.075,NA,0.112,11,9.25e-05,NA,51
110,0.119,-7.552,0.489,141583,NA,0.946,0.64,NA,NA,0.0424,3,2.34e-06,1,39
111,0.0663,-8.227,0.564,183706,NA,0.633,NA,176.405,0.169,0.063,4,NA,1,47
112,0.128,-7.711,NA,356400,NA,NA,0.901,125.148,0.141,0.0526,6,NA,1,77
